team,opponent,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS,date,time,site,team_score,opponent_score
Loyola Maryland,Morgan State,35,"35 Therien, Ava",,2,0-1,0-0,0-0,0-0,0,0,1,0,0,0,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Loyola Maryland,Morgan State,TM,TM TEAM,,0,0-0,0-0,0-0,2-5,7,0,0,0,0,0,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",50,59
Morgan State,Loyola Maryland,03,"03 HENSON,Ja'Niah",*,35,8-15,4-8,2-2,1-3,4,1,4,2,0,3,22,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",59,50
Morgan State,Loyola Maryland,21,"21 SHEPHERD,Charlene",*,26,4-17,1-2,10-10,2-4,6,4,2,2,0,3,19,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",59,50
Morgan State,Loyola Maryland,02,"02 JOHNSON,Gabrielle",*,24,2-6,0-1,0-1,0-3,3,1,2,0,0,0,4,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",59,50
Morgan State,Loyola Maryland,23,"23 BLACK,Fatima",*,19,2-3,0-0,0-0,0-3,3,3,0,1,0,2,4,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",59,50
Morgan State,Loyola Maryland,30,"30 ADDISON,Taylor",*,30,0-5,0-2,0-0,1-1,2,1,1,1,0,2,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",59,50
Morgan State,Loyola Maryland,10,"10 JONES,Emily",,22,3-5,1-3,0-0,0-0,0,2,1,2,0,1,7,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",59,50
Morgan State,Loyola Maryland,24,"24 McCRAE,Sunshine",,17,1-3,0-0,1-2,1-2,3,1,0,0,0,1,3,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",59,50
Morgan State,Loyola Maryland,11,"11 ODUAH,Vanessa",,10,0-1,0-1,0-0,0-0,0,3,1,0,0,1,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",59,50
Morgan State,Loyola Maryland,22,"22 BUTLER,Jael",,9,0-3,0-0,0-0,0-1,1,2,0,1,0,1,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",59,50
Morgan State,Loyola Maryland,00,"00 JOHNSON,Shianne",,8,0-2,0-1,0-0,0-1,1,0,0,0,0,0,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",59,50
Morgan State,Loyola Maryland,TM,TM TEAM,,0,0-0,0-0,0-0,0-2,2,0,0,0,0,0,0,11/10/22,5:30 PM,"Baltimore, Md. (Hill Field House)",59,50
UMBC,Loyola Maryland,23,"23 Dixon,Keelah",*,30,7-11,3-3,4-6,0-0,0,3,1,6,0,1,21,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",47,61
UMBC,Loyola Maryland,03,"03 McCalla,Ashia",*,40,5-13,2-6,1-2,0-5,5,3,2,1,0,3,13,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",47,61
UMBC,Loyola Maryland,01,"01 Bell,Kiara",*,30,2-8,0-0,1-1,2-7,9,2,1,5,2,1,5,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",47,61
UMBC,Loyola Maryland,11,"11 Smith,Shavonne",*,29,1-7,0-1,0-2,0-3,3,3,1,0,0,0,2,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",47,61
UMBC,Loyola Maryland,02,"02 Drake,Laycee",*,18,0-3,0-2,1-2,0-3,3,0,1,1,0,1,1,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",47,61
UMBC,Loyola Maryland,05,"05 Staples,Nia",,25,2-5,1-1,0-0,1-0,1,2,1,2,0,0,5,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",47,61
UMBC,Loyola Maryland,13,"13 Iradier,Paloma",,13,0-1,0-0,0-0,1-3,4,0,0,2,0,0,0,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",47,61
UMBC,Loyola Maryland,15,"15 Yanez,Carmen",,7,0-0,0-0,0-0,0-1,1,2,0,1,0,0,0,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",47,61
UMBC,Loyola Maryland,21,"21 May,Antonia",,5,0-0,0-0,0-0,0-0,0,2,0,0,0,0,0,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",47,61
UMBC,Loyola Maryland,14,"14 Turkstra,Maryama",,3,0-0,0-0,0-0,0-0,0,2,0,1,0,0,0,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",47,61
UMBC,Loyola Maryland,TM,TM TEAM,,0,0-0,0-0,0-0,2-2,4,0,0,0,0,0,0,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",47,61
Loyola Maryland,UMBC,45,"45 Therien, Lex",*,38,7-14,0-0,3-5,2-9,11,3,1,3,0,2,17,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,04,"04 Dixon, Taleah",*,30,4-10,1-3,2-2,3-7,10,2,2,3,0,1,11,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,22,"22 Rozzi, Bri",*,38,3-7,1-3,3-4,0-4,4,1,3,3,0,0,10,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,10,"10 Sims, Koi",*,14,3-5,0-0,0-0,3-1,4,3,1,3,1,1,6,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,02,"02 Van-Otoo, Meliah",*,16,0-3,0-1,0-0,0-1,1,1,1,0,0,1,0,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
Loyola Maryland,UMBC,23,"23 Espinal, Marta",,12,3-3,1-1,0-0,0-0,0,3,1,0,1,0,7,11/13/22,12:00 PM,"Reitz Arena, Baltimore, MD",61,47
