Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT,FTM/A,PCT,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG,Link,Date
at Holy Cross,01/12/19,60-78,L,20-68,.294,6-22,.273,14-22,.636,16,18,34,33.5,13,8,11,0,10,60,52.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9139,2018-19
at American,01/16/19,38-82,L,14-57,.246,3-24,.125,7-9,.778,11,23,34,33.6,26,8,19,0,7,38,51.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9140,2018-19
vs Lafayette,01/20/19,62-50,W,20-48,.417,10-24,.417,12-15,.800,9,25,34,33.6,17,13,12,2,1,62,52.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9141,2018-19
vs Bucknell,01/23/19,57-75,L,19-53,.358,9-20,.450,10-14,.714,9,18,27,33.2,11,11,14,3,5,57,52.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9142,2018-19
at Colgate,01/26/19,64-73,L,23-68,.338,8-20,.400,10-12,.833,12,31,43,33.7,16,17,12,3,10,64,53.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9143,2018-19
at Lehigh,01/30/19,42-51,L,19-53,.358,3-13,.231,1-1,1.000,7,25,32,33.7,16,11,19,1,10,42,52.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9144,2018-19
vs ARMY,02/02/19,70-51,W,28-62,.452,9-23,.391,5-6,.833,10,24,34,33.7,17,17,10,1,14,70,53.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9145,2018-19
vs Holy Cross,02/09/19,48-58,L,20-67,.299,3-20,.150,5-7,.714,14,19,33,33.6,13,9,7,2,10,48,53.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9146,2018-19
vs American,02/13/19,56-67,L,21-48,.438,6-17,.353,8-12,.667,6,20,26,33.3,20,14,19,2,8,56,53.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9147,2018-19
at Lafayette,02/16/19,55-52,W,18-54,.333,9-29,.310,10-14,.714,9,16,25,33.0,14,12,8,3,14,55,53.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9148,2018-19
at Bucknell,02/20/19,55-87,L,20-48,.417,3-14,.214,12-13,.923,8,12,20,32.4,9,12,17,0,5,55,53.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9149,2018-19
vs Colgate,02/23/19,47-58,L,16-55,.291,8-30,.267,7-9,.778,10,26,36,32.6,11,13,18,3,6,47,53.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9150,2018-19
vs Lehigh,02/27/19,46-65,L,16-58,.276,5-23,.217,9-10,.900,7,26,33,32.6,18,12,7,2,5,46,53.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9151,2018-19
at NAVY,03/02/19,55-50,W,17-51,.333,3-14,.214,18-21,.857,10,25,35,32.7,14,10,18,1,15,55,53.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9152,2018-19
at Boston University,03/06/19,59-55,W,20-41,.488,5-14,.357,14-20,.700,8,18,26,32.4,19,7,13,1,4,59,53.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9153,2018-19
vs Navy,03/09/19,58-45,W,19-51,.373,1-12,.083,19-21,.905,15,31,46,32.9,14,11,16,4,5,58,53.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9154,2018-19
at Bucknell,03/11/19,63-88,L,20-50,.400,4-19,.211,19-20,.950,4,14,18,32.4,16,12,14,0,11,63,53.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/9155,2018-19
vs Cornell,11/10/17,78-63,W,29-50,.580,3-10,.300,17-22,.773,6,16,22,22.0,28,13,25,3,17,78,78.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5609,2017-18
vs MASON,11/14/17,72-80,L,22-60,.367,8-30,.267,20-30,.667,13,22,35,28.5,22,14,10,0,6,72,75.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5610,2017-18
vs Georgetown,11/16/17,54-72,L,22-59,.373,5-18,.278,5-10,.500,9,28,37,31.3,17,13,16,2,4,54,68.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5611,2017-18
at Marquette,11/19/17,63-83,L,23-53,.434,3-12,.250,14-19,.737,5,23,28,30.5,15,14,18,3,7,63,66.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5612,2017-18
at Norfolk State,11/21/17,61-58,W,22-61,.361,8-22,.364,9-15,.600,8,21,29,30.2,16,14,11,2,10,61,65.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5613,2017-18
at William & Mary,11/25/17,49-70,L,21-61,.344,3-14,.214,4-10,.400,10,25,35,31.0,11,15,13,5,4,49,62.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5614,2017-18
at Mount St. Mary's,12/02/17,63-71,L,24-71,.338,3-21,.143,12-21,.571,20,21,41,32.4,24,9,13,0,10,63,62.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5615,2017-18
at St. Francis Brooklyn,12/06/17,47-64,L,19-55,.345,4-13,.308,5-6,.833,11,17,28,31.9,15,9,15,2,7,47,60.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5616,2017-18
vs Towson,12/09/17,67-76,L,24-69,.348,2-13,.154,17-29,.586,19,20,39,32.7,32,12,19,5,7,67,61.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5617,2017-18
at Maryland,12/11/17,45-114,L,18-61,.295,4-24,.167,5-8,.625,12,20,32,32.6,14,10,24,2,3,45,59.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5618,2017-18
at Delaware,12/22/17,38-71,L,12-64,.188,3-23,.130,11-16,.688,16,21,37,33.0,20,6,9,4,7,38,57.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5619,2017-18
at Navy,12/29/17,44-73,L,16-54,.296,3-18,.167,9-14,.643,11,31,42,33.8,23,11,29,6,8,44,56.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5620,2017-18
vs Army West Point,01/02/18,62-69,L,27-61,.443,5-14,.357,3-7,.429,11,27,38,34.1,19,15,18,3,5,62,57.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5621,2017-18
at Boston University,01/05/18,56-75,L,18-66,.273,2-18,.111,18-30,.600,24,22,46,34.9,20,6,18,4,8,56,57.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5622,2017-18
vs Holy Cross,01/08/18,77-60,W,26-61,.426,5-14,.357,20-29,.690,18,30,48,35.8,16,14,15,4,8,77,58.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5623,2017-18
vs American,01/11/18,58-71,L,22-68,.324,4-16,.250,10-16,.625,17,26,43,36.3,19,11,10,2,7,58,58.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5624,2017-18
at Lafayette,01/14/18,54-65,L,21-56,.375,3-18,.167,9-15,.600,15,21,36,36.2,13,8,19,2,8,54,58.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5625,2017-18
at Bucknell,01/17/18,68-65,W,25-56,.446,7-13,.538,11-16,.688,9,21,30,35.9,23,17,13,4,7,68,58.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5626,2017-18
vs Colgate,01/21/18,70-55,W,25-68,.368,7-20,.350,13-24,.542,17,31,48,36.5,18,15,12,0,9,70,59.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5627,2017-18
vs Lehigh,01/24/18,67-64,W,27-55,.491,6-10,.600,7-13,.538,7,23,30,36.2,19,10,14,2,9,67,59.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5628,2017-18
at Army West Point,01/27/18,47-62,L,19-48,.396,3-10,.300,6-15,.400,7,20,27,35.8,23,10,17,2,7,47,59.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5629,2017-18
at Holy Cross,02/03/18,65-58,W,23-58,.397,8-19,.421,11-19,.579,8,27,35,35.7,22,16,11,0,10,65,59.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5630,2017-18
at American,02/07/18,56-69,L,20-73,.274,5-16,.313,11-17,.647,24,22,46,36.2,18,8,9,2,7,56,59.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5631,2017-18
vs Lafayette,02/10/18,64-73,L,24-66,.364,7-13,.538,9-15,.600,15,18,33,36.0,19,11,7,6,8,64,59.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5632,2017-18
vs Bucknell,02/14/18,69-74,L,27-65,.415,3-6,.500,12-18,.667,15,18,33,35.9,22,14,11,0,9,69,59.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5633,2017-18
at Colgate,02/17/18,60-71,L,21-59,.356,2-16,.125,16-22,.727,13,24,37,36.0,21,10,19,2,10,60,59.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5634,2017-18
at Lehigh,02/21/18,55-64,L,26-65,.400,3-12,.250,0-5,.000,13,20,33,35.9,23,16,14,4,10,55,59.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5635,2017-18
vs Navy,02/24/18,58-40,W,24-60,.400,5-16,.313,5-7,.714,14,27,41,36.0,10,14,15,0,12,58,59.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5636,2017-18
vs Boston University,02/28/18,65-52,W,21-50,.420,6-22,.273,17-21,.810,10,17,27,35.7,20,16,13,1,16,65,59.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5637,2017-18
at Navy,03/05/18,55-63,L,21-59,.356,6-22,.273,7-8,.875,13,26,39,35.8,14,13,14,3,5,55,59.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5638,2017-18
vs Lipscomb,11/11/16,74-30,W,30-60,.500,4-14,.286,10-18,.556,7,29,36,36.0,19,16,10,3,17,74,74.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5578,2016-17
at Cornell,11/13/16,50-58,L,17-49,.347,5-23,.217,11-17,.647,8,25,33,34.5,29,6,26,0,7,50,62.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5579,2016-17
at Fairfield,11/15/16,57-58,L,20-49,.408,2-11,.182,15-20,.750,4,31,35,34.7,22,7,20,0,6,57,60.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5580,2016-17
vs St. Francis Brooklyn,11/19/16,69-60,W,28-47,.596,5-15,.333,8-13,.615,7,16,23,31.8,14,18,15,0,10,69,62.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5581,2016-17
at Pitt,11/21/16,44-74,L,17-58,.293,6-22,.273,4-7,.571,12,27,39,33.2,17,12,19,0,1,44,58.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5582,2016-17
vs Columbia,11/30/16,53-65,L,21-53,.396,7-20,.350,4-9,.444,6,17,23,31.5,19,11,13,2,9,53,57.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5583,2016-17
vs Mount St. Mary's,12/03/16,58-53,W,19-51,.373,7-18,.389,13-18,.722,14,23,37,32.3,20,14,19,4,12,58,57.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5584,2016-17
vs Delaware,12/07/16,45-47,L,21-55,.382,3-12,.250,0-1,.000,6,23,29,31.9,10,13,13,2,7,45,56.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5585,2016-17
at UMBC,12/10/16,70-65,W,20-56,.357,9-26,.346,21-25,.840,17,30,47,33.6,19,17,15,4,5,70,57.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5586,2016-17
vs Maryland,12/12/16,60-79,L,25-57,.439,6-20,.300,4-8,.500,11,12,23,32.5,16,16,23,2,7,60,58.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5587,2016-17
at GW,12/23/16,64-74,L,24-62,.387,5-22,.227,11-13,.846,20,16,36,32.8,19,14,15,2,6,64,58.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5588,2016-17
vs American,12/30/16,45-60,L,17-59,.288,4-17,.235,7-10,.700,9,21,30,32.6,18,7,13,2,12,45,57.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5589,2016-17
at Lafayette,01/02/17,60-55,W,21-53,.396,6-22,.273,12-22,.545,7,27,34,32.7,21,12,22,4,12,60,57.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5590,2016-17
vs Lehigh,01/05/17,62-58,W,21-62,.339,5-21,.238,15-21,.714,17,24,41,33.3,25,9,11,2,7,62,57.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5591,2016-17
vs Army West Point,01/08/17,71-62,W,27-59,.458,2-13,.154,15-20,.750,11,24,35,33.4,14,16,13,2,8,71,58.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5592,2016-17
at Navy,01/11/17,51-77,L,17-57,.298,8-24,.333,9-13,.692,9,24,33,33.4,18,10,14,3,8,51,58.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5593,2016-17
at Boston University,01/14/17,58-61,L,23-63,.365,9-24,.375,3-5,.600,11,22,33,33.4,18,14,11,3,6,58,58.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5594,2016-17
vs Bucknell,01/18/17,66-72,L,27-67,.403,6-22,.273,6-12,.500,13,21,34,33.4,20,14,11,2,10,66,58.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5595,2016-17
vs Colgate,01/22/17,87-77,W,30-62,.484,8-18,.444,19-23,.826,15,20,35,33.5,15,13,13,1,8,87,60.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5596,2016-17
vs Lafayette,01/28/17,75-47,W,28-52,.538,7-19,.368,12-15,.800,9,28,37,33.7,21,24,19,3,12,75,61.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5597,2016-17
at Lehigh,02/01/17,69-86,L,25-70,.357,5-24,.208,14-16,.875,10,30,40,34.0,28,12,15,3,7,69,61.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5598,2016-17
at Army West Point,02/04/17,48-67,L,21-52,.404,3-13,.231,3-8,.375,7,17,24,33.5,22,8,21,3,12,48,60.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5599,2016-17
vs Navy,02/08/17,43-55,L,16-55,.291,5-19,.263,6-13,.462,12,24,36,33.6,11,11,12,3,8,43,60.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5600,2016-17
vs Boston University,02/11/17,55-67,L,21-61,.344,6-22,.273,7-11,.636,8,20,28,33.4,15,16,15,1,10,55,59.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5601,2016-17
at Bucknell,02/15/17,39-57,L,17-58,.293,4-19,.211,1-3,.333,7,19,26,33.1,17,11,11,2,9,39,58.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5602,2016-17
at Colgate,02/18/17,62-76,L,21-61,.344,10-23,.435,10-16,.625,6,29,35,33.2,23,16,8,2,7,62,59.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5603,2016-17
vs Holy Cross,02/22/17,58-59,L,19-54,.352,10-28,.357,10-14,.714,12,21,33,33.1,11,13,16,3,6,58,59.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5604,2016-17
at American,02/25/17,59-66,L,20-54,.370,4-12,.333,15-20,.750,14,21,35,33.2,20,10,12,2,5,59,59.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5605,2016-17
at Holy Cross,03/01/17,56-37,W,24-59,.407,5-20,.250,3-4,.750,17,28,45,33.6,13,15,14,3,10,56,58.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5606,2016-17
vs Lehigh,03/04/17,78-50,W,28-58,.483,12-23,.522,10-11,.909,6,25,31,33.5,16,19,7,1,10,78,59.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5607,2016-17
at Bucknell,03/06/17,72-75,L,27-54,.500,9-19,.474,9-11,.818,3,17,20,33.1,18,14,8,4,4,72,59.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5608,2016-17
at LIPSCOMB,11/13/15,57-52,W,20-66,.303,4-26,.154,13-18,.722,13,33,46,46.0,21,9,18,2,8,57,57.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5546,2015-16
at Villanova,11/16/15,55-67,L,22-57,.386,7-15,.467,4-10,.400,13,26,39,42.5,23,9,12,4,1,55,56.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5547,2015-16
vs Fairfield,11/18/15,45-71,L,15-59,.254,7-17,.412,8-13,.615,7,30,37,40.7,18,11,10,4,3,45,52.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5548,2015-16
vs Norfolk State,11/21/15,75-67,W,27-56,.482,8-19,.421,13-15,.867,12,21,33,38.8,22,15,16,2,13,75,58.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5549,2015-16
vs William & Mary,11/23/15,61-62,L,18-47,.383,5-18,.278,20-30,.667,13,23,36,38.2,20,8,19,3,3,61,58.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5550,2015-16
at Columbia,11/28/15,53-63,L,16-52,.308,2-23,.087,19-31,.613,11,23,34,37.5,21,7,14,1,7,53,57.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5551,2015-16
at Old Dominion,12/02/15,41-64,L,15-55,.273,2-13,.154,9-10,.900,11,20,31,36.6,15,7,13,2,5,41,55.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5552,2015-16
at Mount St. Mary's,12/05/15,65-63,W,21-52,.404,6-17,.353,17-21,.810,9,18,27,35.4,17,12,19,1,11,65,56.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5553,2015-16
at Maryland,12/08/15,47-97,L,19-58,.328,8-28,.286,1-1,1.000,9,18,27,34.4,18,12,21,0,6,47,55.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5554,2015-16
vs UMBC,12/20/15,46-52,L,17-54,.315,8-27,.296,4-8,.500,9,28,37,34.7,17,11,17,0,9,46,54.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5555,2015-16
at St. Francis Brooklyn,12/22/15,54-64,L,20-55,.364,5-21,.238,9-17,.529,11,23,34,34.6,23,15,19,3,9,54,54.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5556,2015-16
vs American,12/30/15,52-46,W,18-49,.367,4-14,.286,12-18,.667,10,24,34,34.6,18,11,14,0,9,52,54.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5557,2015-16
vs Lafayette,01/02/16,66-65,W,28-59,.475,4-14,.286,6-9,.667,8,18,26,33.9,14,20,10,2,10,66,55.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5558,2015-16
at Lehigh,01/06/16,48-66,L,16-58,.276,3-18,.167,13-20,.650,6,20,26,33.4,21,10,15,3,13,48,54.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5559,2015-16
at Army West Point,01/09/16,37-70,L,13-43,.302,0-3,.000,11-22,.500,11,22,33,33.3,15,3,17,3,5,37,53.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5560,2015-16
vs Navy,01/13/16,51-38,W,19-53,.358,5-21,.238,8-13,.615,12,24,36,33.5,10,9,13,4,5,51,53.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5561,2015-16
vs Boston University,01/16/16,63-54,W,22-60,.367,6-21,.286,13-16,.813,15,19,34,33.5,7,13,11,3,13,63,53.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5562,2015-16
at Bucknell,01/20/16,64-71,L,24-60,.400,5-18,.278,11-16,.688,10,12,22,32.9,24,12,11,2,10,64,54.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5563,2015-16
at Colgate,01/23/16,65-49,W,27-53,.509,6-14,.429,5-10,.500,8,24,32,32.8,15,16,11,3,12,65,55.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5564,2015-16
at Lafayette,01/30/16,55-51,W,17-58,.293,7-24,.292,14-22,.636,13,23,36,33.0,17,12,11,2,13,55,55.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5565,2015-16
vs Lehigh,02/03/16,68-76,L,25-71,.352,2-16,.125,16-23,.696,14,18,32,33.0,24,9,6,3,12,68,55.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5566,2015-16
vs Army West Point,02/06/16,44-52,L,13-46,.283,3-13,.231,15-24,.625,10,20,30,32.8,20,10,13,3,8,44,55.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5567,2015-16
at Navy,02/10/16,38-45,L,16-47,.340,2-15,.133,4-4,1.000,7,32,39,33.1,18,7,16,3,5,38,54.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5568,2015-16
at Boston University,02/13/16,67-46,W,24-48,.500,6-12,.500,13-22,.591,7,25,32,33.0,15,7,16,0,9,67,54.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5569,2015-16
vs Bucknell,02/17/16,42-64,L,18-62,.290,3-15,.200,3-12,.250,9,19,28,32.8,15,11,9,2,8,42,54.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5570,2015-16
vs Colgate,02/21/16,55-38,W,21-59,.356,5-20,.250,8-16,.500,13,29,42,33.2,14,16,18,2,11,55,54.4,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5571,2015-16
at Holy Cross,02/24/16,59-49,W,21-52,.404,10-24,.417,7-10,.700,10,24,34,33.2,15,12,14,2,9,59,54.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5572,2015-16
at American,02/27/16,55-50,W,17-51,.333,5-12,.417,16-18,.889,11,21,32,33.2,15,6,16,1,10,55,54.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5573,2015-16
vs Holy Cross,03/02/16,58-45,W,20-50,.400,3-19,.158,15-21,.714,6,27,33,33.2,12,15,11,2,10,58,54.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5574,2015-16
vs Navy,03/07/16,44-42,W,18-46,.391,3-11,.273,5-12,.417,9,19,28,33.0,17,11,11,1,8,44,54.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5575,2015-16
at Bucknell,03/11/16,65-53,W,20-43,.465,7-13,.538,18-25,.720,4,28,32,33.0,18,11,9,1,6,65,54.7,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5576,2015-16
at Army West Point,03/12/16,51-69,L,18-51,.353,4-15,.267,11-19,.579,12,21,33,33.0,17,6,13,2,4,51,54.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5577,2015-16
at UMBC,11/16/14,58-81,L,20-61,.328,6-20,.300,12-17,.706,12,22,34,34.0,21,15,15,3,8,58,58.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5517,2014-15
at Georgetown,11/19/14,44-71,L,13-61,.213,4-23,.174,14-26,.538,21,19,40,37.0,20,4,17,2,6,44,51.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5518,2014-15
at Maryland,11/24/14,43-65,L,16-55,.291,6-15,.400,5-6,.833,12,21,33,35.7,13,9,20,2,10,43,48.3,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5519,2014-15
at PITT,11/30/14,46-84,L,18-62,.290,5-15,.333,5-10,.500,15,19,34,35.3,10,14,13,3,6,46,47.8,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5520,2014-15
vs Towson,12/04/14,50-63,L,18-61,.295,8-21,.381,6-11,.545,17,28,45,37.2,18,13,17,3,5,50,48.2,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5521,2014-15
vs Mount St. Mary's,12/06/14,56-49,W,19-43,.442,6-18,.333,12-21,.571,10,21,31,36.2,20,8,27,1,12,56,49.5,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5522,2014-15
vs East Carolina,12/09/14,33-82,L,10-53,.189,0-12,.000,13-25,.520,15,22,37,36.3,17,6,25,4,11,33,47.1,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5523,2014-15
vs Saint Peter's,12/20/14,59-49,W,20-55,.364,3-16,.188,16-24,.667,8,24,32,35.8,15,6,13,2,12,59,48.6,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5524,2014-15
vs Cornell,12/22/14,61-79,L,22-49,.449,5-22,.227,12-17,.706,6,22,28,34.9,20,8,23,3,7,61,50.0,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5525,2014-15
vs George Washington,12/28/14,49-72,L,17-48,.354,2-14,.143,13-23,.565,6,15,21,33.5,17,6,23,5,10,49,49.9,https://loyolagreyhounds.com/sports/womens-basketball/stats/2022-23/niagara/boxscore/5526,2014-15
