#,Player,GP,GS,TOT_Minutes,AVG_Minutes,FGM_FG,FGA_FG,FG%_FG,3PT_3PT,3PTA_3PT,3PT%_3PT,FTM_FT,FTA_FT,FT%_FT,PTS_Scoring,AVG_Scoring,OFF_Rebounds,DEF_Rebounds,TOT_Rebounds,AVG_Rebounds,PF,AST,TO,STL,BLK,Bio Link,Position,Height,Class,Highschool,Hometown,Prev School
21,"Daugherty, Lauren",32,0,381,11.9,26,75,.347,6,16,.375,12,14,.857,70,2.2,19,67,86,2.7,55,16,23,12,18,https://loyolagreyhounds.com/sports/womens-basketball/roster/lauren-daugherty/3707,Forward,Senior,Hanover Park,"Florham Park, N.J.",,
55,"Vannoy, Courtney",22,0,146,6.6,13,27,.481,0,1,.000,3,4,.750,29,1.3,15,20,35,1.6,10,4,7,1,4,https://loyolagreyhounds.com/sports/womens-basketball/roster/courtney-vannoy/3715,Forward,6-1,Senior,Blackhawk,"Beaver Falls, Pa.",
14,"McDonald, Madelene",13,0,55,4.2,3,12,.250,0,0,.000,4,10,.400,10,0.8,3,8,11,0.8,7,1,9,4,1,https://loyolagreyhounds.com/sports/womens-basketball/roster/madelene-mcdonald/3704,Guard,5-10,Senior,Southern Lehigh,"Coopersburg, Pa.",
22,"Barazotti, Alex",18,0,70,3.9,4,27,.148,3,18,.167,0,4,.000,11,0.6,0,3,3,0.2,3,3,5,0,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/alex-barazotti/3708,Guard,5-6,Senior,Red Bank Catholic,"Howell, N.J.",
15,"Hunter, Ashley",4,0,8,2.0,1,5,.200,0,0,.000,0,2,.000,2,0.5,1,0,1,0.3,0,0,0,0,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/ashley-hunter/3705,Forward,6-0,Graduate Student,The John Carroll School,"Abingdon, Md.",
03,"Omdahl, Abby",16,0,81,5.1,3,9,.333,0,2,.000,0,0,.000,6,0.4,1,11,12,0.8,5,3,6,3,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/abby-omdahl/3700,Guard,5-11,Senior,Saucon Valley,"Bethlehem, Pa.",
33,"Monzo, Carly",16,2,124,7.8,2,24,.083,0,9,.000,1,2,.500,5,0.3,7,14,21,1.3,17,10,8,0,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/carly-monzo/3713,Guard/Forward,5-10,Junior,Mount St. Joseph Academy,"Flourtown, Pa.",
24,"Kilcullen, Maria",18,1,72,4.0,2,10,.200,0,5,.000,2,5,.400,6,0.3,4,2,6,0.3,6,1,4,2,2,https://loyolagreyhounds.com/sports/womens-basketball/roster/maria-kilcullen/3710,Guard/Forward,Junior,The Episcopal Acadmey,"Berwyn, Pa.",,
31,"Schultz, Tori",6,0,13,2.2,1,2,.500,0,0,.000,0,0,.000,2,0.3,1,0,1,0.2,0,1,2,0,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/tori-schultz/3711,Forward,Sophomore,Lampeter-Strasburg,"Lancaster, Pa.",,
05,"Marshall, Colleen",29,29,926,31.9,125,394,.317,35,130,.269,61,94,.649,346,11.9,33,86,119,4.1,79,50,79,71,5,https://loyolagreyhounds.com/sports/womens-basketball/roster/colleen-marshall/3717,Guard,5-9,Senior,Gaithersburg,"Gaithersburg, Md.",
11,"Betz-White, Bri",30,28,920,30.7,77,256,.301,24,92,.261,72,105,.686,250,8.3,18,52,70,2.3,53,44,65,32,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/bri-betz-white/3718,Guard,5-3,Fifth Year,Trinity,"Harrisburg, Pa.",
42,"Perry, Jeneh",30,8,724,24.1,89,207,.430,0,1,.000,41,77,.532,219,7.3,95,104,199,6.6,77,18,69,26,11,https://loyolagreyhounds.com/sports/womens-basketball/roster/jeneh-perry/3726,Forward,Senior,Girls Preparatory School,"Chattanooga, Tenn.",,
35,"Brown, Nai",21,3,303,14.4,53,144,.368,16,43,.372,14,19,.737,136,6.5,16,42,58,2.8,31,3,35,11,5,,,,,,,
20,"Logan, Diana",14,1,180,12.9,30,84,.357,16,40,.400,5,6,.833,81,5.8,3,15,18,1.3,10,2,12,9,0,https://loyolagreyhounds.com/sports/womens-basketball/roster/diana-logan/3720,Guard,5-11,Senior,North Point,"Waldorf, Md.",
23,"Mirarchi, Lisa",30,26,824,27.5,39,130,.300,9,38,.237,36,47,.766,123,4.1,19,47,66,2.2,56,60,55,34,4,https://loyolagreyhounds.com/sports/womens-basketball/roster/lisa-mirarchi/3722,Guard,5-8,Senior,Villa Maria Academy,"West Chester, Pa.",
21,"Daugherty, Lauren",30,25,628,20.9,44,134,.328,8,39,.205,24,33,.727,120,4.0,31,96,127,4.2,70,20,24,17,20,https://loyolagreyhounds.com/sports/womens-basketball/roster/lauren-daugherty/3721,Forward,Senior,Hanover Park,"Florham Park, N.J.",,
